Date,Action,Ticker
2025-09-22,Added,EME
2025-09-22,Removed,ENPH
2025-09-22,Added,HOOD
2025-09-22,Removed,CZR
2025-09-22,Added,APP
2025-09-22,Removed,MKTX
2025-08-28,Added,IBKR
2025-08-28,Removed,WBA
2025-07-23,Removed,HES
2025-07-23,Added,XYZ
2025-07-18,Added,TTD
2025-07-18,Removed,ANSS
2025-07-09,Added,DDOG
2025-07-09,Removed,JNPR
2025-05-19,Added,COIN
2025-05-19,Removed,DFS
2025-03-24,Added,WSM
2025-03-24,Removed,FMC
2025-03-24,Added,EXE
2025-03-24,Removed,CE
2025-03-24,Removed,TFX
2025-03-24,Added,DASH
2025-03-24,Added,TKO
2025-03-24,Removed,BWA
2024-12-23,Added,APO
2024-12-23,Removed,QRVO
2024-12-23,Added,WDAY
2024-12-23,Removed,AMTM
2024-12-23,Added,LII
2024-12-23,Removed,CTLT
2024-11-26,Removed,MRO
2024-11-26,Added,TPL
2024-10-01,Removed,BBWI
2024-09-30,Added,AMTM
2024-09-23,Added,PLTR
2024-09-23,Removed,AAL
2024-09-23,Added,DELL
2024-09-23,Removed,ETSY
2024-09-23,Added,ERIE
2024-09-23,Removed,BIO
2024-06-24,Removed,CMA
2024-06-24,Added,GDDY
2024-06-24,Removed,ILMN
2024-06-24,Added,CRWD
2024-06-24,Added,KKR
2024-06-24,Removed,RHI
2024-05-08,Added,VST
2024-05-08,Removed,PXD
2024-04-03,Removed,XRAY
2024-04-03,Removed,VFC
2024-04-02,Added,GEV
2024-04-01,Added,SOLV
2024-03-18,Added,DECK
2024-03-18,Removed,ZION
2024-03-18,Removed,WHR
2024-03-18,Added,SMCI
2023-12-18,Added,UBER
2023-12-18,Removed,SEE
2023-12-18,Added,JBL
2023-12-18,Removed,ALK
2023-12-18,Added,BLDR
2023-12-18,Removed,SEDG
2023-10-18,Added,HUBB
2023-10-18,Removed,OGN
2023-10-18,Added,LULU
2023-10-18,Removed,ATVI
2023-10-03,Removed,DXC
2023-10-02,Added,VLTO
2023-09-18,Added,BX
2023-09-18,Removed,LNC
2023-09-18,Added,ABNB
2023-09-18,Removed,NWL
2023-08-25,Added,KVUE
2023-08-25,Removed,AAP
2023-06-20,Added,PANW
2023-06-20,Removed,DISH
2023-05-04,Added,AXON
2023-05-04,Removed,FRC
2023-03-20,Removed,LUMN
2023-03-20,Added,FICO
2023-03-15,Added,BG
2023-03-15,Removed,SBNY
2023-03-15,Added,PODD
2023-03-15,Removed,SIVB
2023-01-05,Removed,VNO
2023-01-04,Added,GEHC
2022-12-22,Added,STLD
2022-12-22,Removed,ABMD
2022-12-19,Added,FSLR
2022-12-19,Removed,FBHS
2022-12-19,Removed,MBC
2022-12-15,Added,MBC
2022-11-01,Added,ACGL
2022-11-01,Removed,TWTR
2022-10-12,Added,TRGP
2022-10-12,Removed,NLSN
2022-10-03,Added,PCG
2022-10-03,Removed,CTXS
2022-10-03,Added,EQT
2022-10-03,Removed,DRE
2022-09-19,Added,INVH
2022-09-19,Removed,PENN
2022-09-19,Removed,PVH
2022-09-19,Added,CSGP
2022-06-21,Added,KDP
2022-06-21,Removed,UAA
2022-06-21,Added,ON
2022-06-21,Removed,IPGP
2022-06-21,Removed,UA
2022-06-08,Added,VICI
2022-06-08,Removed,CERN
2022-04-11,Added,WBD
2022-04-11,Removed,DISCA
2022-04-11,Removed,DISCK
2022-04-04,Removed,PBCT
2022-04-04,Added,CPT
2022-03-02,Added,MOH
2022-03-02,Removed,INFO
2022-02-15,Added,NDSN
2022-02-15,Removed,XLNX
2022-02-03,Removed,GPS
2022-02-02,Added,CEG
2021-12-20,Removed,HBI
2021-12-20,Removed,WU
2021-12-20,Added,FDS
2021-12-20,Added,SEDG
2021-12-20,Removed,LEG
2021-12-20,Added,SBNY
2021-12-14,Added,EPAM
2021-12-14,Removed,KSU
2021-09-20,Added,MTCH
2021-09-20,Removed,PRGO
2021-09-20,Added,CDAY
2021-09-20,Removed,UNM
2021-09-20,Added,BRO
2021-09-20,Removed,NOV
2021-08-30,Removed,MXIM
