Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,"('Close', 'ABK')","('High', 'ABK')","('Low', 'ABK')","('Open', 'ABK')","('Volume', 'ABK')","('Close', 'ABK').1","('High', 'ABK').1","('Low', 'ABK').1","('Open', 'ABK').1","('Volume', 'ABK').1","('Close', 'ABK')","('High', 'ABK')","('Low', 'ABK')","('Open', 'ABK')","('Volume', 'ABK')"
2000-01-03,0.1051699966192245,0.1051699966192245,0.1051699966192245,0.1051699966192245,27003.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-04,0.1051699966192245,0.1051699966192245,0.1051699966192245,0.1051699966192245,189019.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-05,0.1036899983882904,0.1051699966192245,0.1036899983882904,0.1036899983882904,297030.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-06,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-07,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-10,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-11,0.1036899983882904,0.1051699966192245,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-12,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,27003.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-13,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-14,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-18,0.1022100001573562,0.1036899983882904,0.1022100001573562,0.1022100001573562,54006.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-19,0.1022100001573562,0.1036899983882904,0.1022100001573562,0.1022100001573562,243025.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-20,0.1022100001573562,0.1022100001573562,0.1022100001573562,0.1022100001573562,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-21,0.1022100001573562,0.1022100001573562,0.1022100001573562,0.1022100001573562,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-24,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,432044.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-25,0.1051699966192245,0.1051699966192245,0.1051699966192245,0.1051699966192245,1485152.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-26,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,324033.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-27,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-28,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-01-31,0.1022100001573562,0.1036899983882904,0.1022100001573562,0.1022100001573562,243025.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-02-01,0.1036899983882904,0.1036899983882904,0.1036899983882904,0.1036899983882904,81008.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2000-02-02,0.1036899983882904,0.1051699966192245,0.1036899983882904,0.1036899983882904,405041.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
