Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,"('Close', 'ANR')","('High', 'ANR')","('Low', 'ANR')","('Open', 'ANR')","('Volume', 'ANR')","('Close', 'ANR').1","('High', 'ANR').1","('Low', 'ANR').1","('Open', 'ANR').1","('Volume', 'ANR').1","('Close', 'ANR')","('High', 'ANR')","('Low', 'ANR')","('Open', 'ANR')","('Volume', 'ANR')"
2019-02-12,16.500000655651093,21.230000257492065,13.30000013113022,20.499999821186066,18037.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-13,20.499999821186066,20.499999821186066,20.499999821186066,20.499999821186066,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-14,20.499999821186066,22.599999606609344,17.29999929666519,20.499999821186066,393.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-15,20.499999821186066,22.599999606609344,17.29999929666519,20.499999821186066,5510.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-19,20.499999821186066,20.499999821186066,20.499999821186066,20.499999821186066,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-20,20.499999821186066,20.499999821186066,18.000000715255737,20.499999821186066,6446.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-21,20.499999821186066,20.499999821186066,20.499999821186066,20.499999821186066,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-22,20.499999821186066,20.499999821186066,18.000000715255737,20.499999821186066,181.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-25,20.499999821186066,20.499999821186066,18.000000715255737,20.499999821186066,639.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-26,20.499999821186066,20.499999821186066,18.000000715255737,20.499999821186066,4.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-27,20.499999821186066,25.0,20.499999821186066,23.499999940395355,18016.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-02-28,23.499999940395355,23.499999940395355,23.499999940395355,23.499999940395355,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-03-01,23.499999940395355,23.499999940395355,21.699999272823334,23.499999940395355,62.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-03-04,23.499999940395355,23.499999940395355,21.699999272823334,23.499999940395355,1700.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-03-05,23.499999940395355,23.499999940395355,23.499999940395355,23.499999940395355,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
2019-03-06,23.499999940395355,23.499999940395355,23.499999940395355,23.499999940395355,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,
