Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,"('Close', 'MEE')","('High', 'MEE')","('Low', 'MEE')","('Open', 'MEE')","('Volume', 'MEE')","('Close', 'MEE').1","('High', 'MEE').1","('Low', 'MEE').1","('Open', 'MEE').1","('Volume', 'MEE').1","('Close', 'MEE')","('High', 'MEE')","('Low', 'MEE')","('Open', 'MEE')","('Volume', 'MEE')"
2007-08-03,0.1099999994039535,0.1099999994039535,0.1099999994039535,0.1099999994039535,5.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2007-12-28,14.422200202941896,14.422200202941896,14.422200202941896,14.422200202941896,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-02,17.982999801635742,17.982999801635742,17.982999801635742,17.982999801635742,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-03,15.755999565124512,15.755999565124512,15.755999565124512,15.755999565124512,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-04,15.755999565124512,15.755999565124512,15.755999565124512,15.755999565124512,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-07,14.088700294494627,14.755599975585938,14.088700294494627,14.338800430297852,76.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-08,14.422200202941896,14.422200202941896,14.422200202941896,14.422200202941896,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-09,14.00529956817627,14.00529956817627,14.00529956817627,14.00529956817627,152.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-10,13.255000114440918,14.00529956817627,13.255000114440918,14.00529956817627,72.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-11,16.393299102783203,16.393299102783203,16.393299102783203,16.393299102783203,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
2008-01-14,16.095199584960938,16.095199584960938,16.095199584960938,16.095199584960938,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
