Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2000-01-03 00:00:00-05:00,643.75,643.75,643.75,643.75,16,0.0,0.0,0.0,True
2000-01-04 00:00:00-05:00,688.0000114440918,688.0000114440918,688.0000114440918,688.0000114440918,336,0.0,0.0,0.0,True
2000-01-05 00:00:00-05:00,688.0000114440918,688.0000114440918,688.0000114440918,688.0000114440918,16,0.0,0.0,0.0,True
2000-01-06 00:00:00-05:00,712.5,712.5,712.5,712.5,336,0.0,0.0,0.0,True
2000-01-07 00:00:00-05:00,712.5,731.25,712.5,731.25,96,0.0,0.0,0.0,True
2000-01-10 00:00:00-05:00,731.25,731.25,731.25,731.25,208,0.0,0.0,0.0,True
2000-01-11 00:00:00-05:00,718.75,718.75,718.75,718.75,736,0.0,0.0,0.0,True
2000-01-12 00:00:00-05:00,717.9999828338623,717.9999828338623,717.9999828338623,717.9999828338623,16,0.0,0.0,0.0,True
2000-01-13 00:00:00-05:00,718.75,718.75,718.75,718.75,1600,0.0,0.0,0.0,True
2000-01-14 00:00:00-05:00,717.9999828338623,717.9999828338623,717.9999828338623,717.9999828338623,16,0.0,0.0,0.0,True
2000-01-18 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-19 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-20 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-21 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-24 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-25 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-26 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-27 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-28 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-01-31 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-02-01 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-02-02 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-02-03 00:00:00-05:00,687.5,687.5,687.5,687.5,16,0.0,0.0,0.0,True
2000-02-04 00:00:00-05:00,700.0,700.0,700.0,700.0,96,0.0,0.0,0.0,True
2000-02-07 00:00:00-05:00,699.4999885559082,699.4999885559082,699.4999885559082,699.4999885559082,16,0.0,0.0,0.0,True
2000-02-08 00:00:00-05:00,675.0,675.0,675.0,675.0,128,0.0,0.0,0.0,True
2000-02-09 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-10 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-11 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-14 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-15 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-16 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-17 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-18 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-22 00:00:00-05:00,675.0,675.0,675.0,675.0,144,0.0,0.0,0.0,True
2000-02-23 00:00:00-05:00,675.0,675.0,675.0,675.0,16,0.0,0.0,0.0,True
2000-02-24 00:00:00-05:00,675.5000114440918,675.5000114440918,675.5000114440918,675.5000114440918,16,0.0,0.0,0.0,True
2000-02-25 00:00:00-05:00,700.0,700.0,700.0,700.0,592,0.0,0.0,0.0,True
2000-02-28 00:00:00-05:00,699.4999885559082,699.4999885559082,675.0,675.0,64,0.0,0.0,0.0,True
2000-02-29 00:00:00-05:00,675.5000114440918,675.5000114440918,675.5000114440918,675.5000114440918,16,0.0,0.0,0.0,True
2000-03-01 00:00:00-05:00,675.5000114440918,675.5000114440918,675.5000114440918,675.5000114440918,16,0.0,0.0,0.0,True
2000-03-02 00:00:00-05:00,675.5000114440918,675.5000114440918,675.5000114440918,675.5000114440918,16,0.0,0.0,0.0,True
2000-03-03 00:00:00-05:00,675.5000114440918,675.5000114440918,675.5000114440918,675.5000114440918,16,0.0,0.0,0.0,True
2000-03-06 00:00:00-05:00,676.9999980926514,676.9999980926514,676.2499809265137,676.2499809265137,32,0.0,0.0,0.0,True
