Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,"('Close', 'SBL')","('High', 'SBL')","('Low', 'SBL')","('Open', 'SBL')","('Volume', 'SBL')"
2010-03-02,2.703999938964844,2.703999938964844,2.703999938964844,2.703999938964844,2512.0,0.0,0.0,0.0,True,,,,,
2010-03-03,0.175,0.175,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-04,2.710499877929688,2.710499877929688,2.710499877929688,2.710499877929688,1726.0,0.0,0.0,0.0,True,,,,,
2010-03-05,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-08,0.148100004196167,0.148100004196167,0.1480000019073486,0.1480000019073486,191.0,0.0,0.0,0.0,True,,,,,
2010-03-09,2.665,2.665,2.665,2.665,966.0,0.0,0.0,0.0,True,,,,,
2010-03-10,2.6,2.6,2.6,2.6,900.0,0.0,0.0,0.0,True,,,,,
2010-03-11,2.671499938964844,2.671499938964844,2.671499938964844,2.671499938964844,523.0,0.0,0.0,0.0,True,,,,,
2010-03-12,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-15,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-16,2.5675,2.5675,2.5675,2.5675,1097.0,0.0,0.0,0.0,True,,,,,
2010-03-17,2.6,2.6,2.6,2.6,903.0,0.0,0.0,0.0,True,,,,,
2010-03-18,2.6,2.6,2.6,2.6,1194.0,0.0,0.0,0.0,True,,,,,
2010-03-19,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-22,2.476499938964844,2.476499938964844,2.476499938964844,2.476499938964844,1425.0,0.0,0.0,0.0,True,,,,,
2010-03-23,2.47,2.47,2.47,2.47,489.0,0.0,0.0,0.0,True,,,,,
2010-03-24,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-25,2.4830000305175783,2.4830000305175783,2.4830000305175783,2.4830000305175783,474.0,0.0,0.0,0.0,True,,,,,
2010-03-26,0.1739999961853027,0.1739999961853027,0.1489999961853027,0.1489999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-03-29,2.4830000305175783,2.4830000305175783,2.4830000305175783,2.4830000305175783,1220.0,0.0,0.0,0.0,True,,,,,
2010-03-30,2.606499938964844,2.606499938964844,2.606499938964844,2.606499938964844,15.0,0.0,0.0,0.0,True,,,,,
2010-03-31,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.1739999961853027,0.0,0.0,0.0,0.0,True,,,,,
2010-04-01,2.6325,2.6325,2.6325,2.6325,686.0,0.0,0.0,0.0,True,,,,,
2010-04-05,2.593500061035156,2.593500061035156,2.593500061035156,2.593500061035156,631.0,0.0,0.0,0.0,True,,,,,
2010-04-06,2.4375,2.4375,2.4375,2.4375,992.0,0.0,0.0,0.0,True,,,,,
2010-04-07,2.4375,2.4375,2.4375,2.4375,189.0,0.0,0.0,0.0,True,,,,,
2010-04-08,2.4830000305175783,2.4830000305175783,2.4830000305175783,2.4830000305175783,377.0,0.0,0.0,0.0,True,,,,,
2010-04-09,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-12,2.5610000610351564,2.5610000610351564,2.5610000610351564,2.5610000610351564,1314.0,0.0,0.0,0.0,True,,,,,
2010-04-13,2.6,2.6,2.6,2.6,615.0,0.0,0.0,0.0,True,,,,,
2010-04-14,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-15,2.5480000305175783,2.5480000305175783,2.5480000305175783,2.5480000305175783,3125.0,0.0,0.0,0.0,True,,,,,
2010-04-16,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-19,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-20,2.5025,2.5025,2.5025,2.5025,209.0,0.0,0.0,0.0,True,,,,,
2010-04-21,2.456999969482422,2.456999969482422,2.456999969482422,2.456999969482422,18.0,0.0,0.0,0.0,True,,,,,
2010-04-22,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-23,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-04-26,0.15,0.15,0.15,0.15,2333.0,0.0,0.0,0.0,True,,,,,
2010-04-27,2.151499938964844,2.151499938964844,2.151499938964844,2.151499938964844,791.0,0.0,0.0,0.0,True,,,,,
2010-04-28,2.158000030517578,2.158000030517578,2.158000030517578,2.158000030517578,712.0,0.0,0.0,0.0,True,,,,,
2010-04-29,2.366000061035156,2.366000061035156,2.366000061035156,2.366000061035156,2112.0,0.0,0.0,0.0,True,,,,,
2010-04-30,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-05-03,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-05-04,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.0,True,,,,,
2010-05-05,0.175,0.175,0.1748999977111816,0.1748999977111816,0.0,0.0,0.0,0.0,True,,,,,
2010-05-06,0.15,0.15,0.15,0.15,114.0,0.0,0.0,0.0,True,,,,,
2010-05-07,0.15,0.15,0.15,0.15,2856.0,0.0,0.0,0.0,True,,,,,
2010-05-10,2.2555000305175783,2.2555000305175783,2.2555000305175783,2.2555000305175783,148.0,0.0,0.0,0.0,True,,,,,
